"##Downloaded July 9, 2015 from http://hgdownload.soe.ucsc.edu/goldenPath/hg19/database/ "								
#Name	Transcript	Chromosome	Transcription_Start	Transcription_End	Alpha	Beta	Gamma	Delta
CTNND1	NM_001085467	chr11	57529233	57586652	1000	1000	28709	28709
CTNND1	NM_001206884	chr11	57529233	57586652	1000	1000	28709	28709
CTNND1	NM_001206889	chr11	57529233	57586652	1000	1000	28709	28709
CTNND1	NM_001085466	chr11	57529233	57586652	1000	1000	28709	28709
CTNND1	NM_001085469	chr11	57529233	57586652	1000	1000	28709	28709
CTNND1	NM_001206886	chr11	57529233	57586652	1000	1000	28709	28709
CTNND1	NM_001085465	chr11	57529233	57586652	1000	1000	28709	28709
CTNND1	NM_001206887	chr11	57529233	57586652	1000	1000	28709	28709
OR9Q1	NM_001005212	chr11	57791352	57949038	1000	1000	78843	78842
OR6Q1	NM_001005186	chr11	57798424	57799378	1000	1000	477	476
OR9I1	NM_001005211	chr11	57885971	57886916	1000	1000	472	472
OR9Q2	NM_001005283	chr11	57957905	57958990	1000	1000	542	542
OR1S2	NM_001004459	chr11	57970675	57971653	1000	1000	489	488
OR1S1	NM_001004458	chr11	57982216	57983194	1000	1000	489	488
OR10Q1	NM_001004471	chr11	57995353	57996390	1000	1000	518	518
OR10W1	NM_207374	chr11	58034263	58035732	1000	1000	734	734
OR5B17	NM_001005489	chr11	58125597	58126542	1000	1000	472	472
OR5B3	NM_001005469	chr11	58169937	58170882	1000	1000	472	472
OR5B2	NM_001005566	chr11	58189737	58190786	1000	1000	524	524
OR5B12	NM_001004733	chr11	58206592	58207646	1000	1000	527	526
OR5B21	NM_001005218	chr11	58274648	58275578	1000	1000	465	464
LPXN	NM_001143995	chr11	58294343	58345712	1000	1000	25684	25684
LPXN	NM_004811	chr11	58294343	58343390	1000	1000	24523	24523
LPXN	NM_001307951	chr11	58294343	58345712	1000	1000	25684	25684
ZFP91	NM_053023	chr11	58346586	58389023	1000	1000	21218	21218
ZFP91-CNTF	NR_024091	chr11	58346586	58393205	1000	1000	23309	23309
ZFP91	NM_001197051	chr11	58346586	58389023	1000	1000	21218	21218
CNTF	NM_000614	chr11	58390145	58393205	1000	1000	1530	1529
GLYAT	NM_201648	chr11	58476229	58499447	1000	1000	11609	11608
GLYAT	NM_005838	chr11	58477560	58499447	1000	1000	10943	10943
GLYATL2	NM_145016	chr11	58601539	58611997	1000	1000	5229	5228
GLYATL1	NM_001220494	chr11	58695101	58724547	1000	1000	14723	14722
LOC283194	NR_033853	chr11	58701115	58825925	1000	1000	62405	62404
GLYATL1	NM_001220496	chr11	58710721	58724547	1000	1000	6913	6912
GLYATL1	NM_080661	chr11	58710721	58724547	1000	1000	6913	6912
FAM111B	NM_001142704	chr11	58874657	58894888	1000	1000	10115	10115
FAM111B	NM_198947	chr11	58874657	58894888	1000	1000	10115	10115
FAM111B	NM_001142703	chr11	58874657	58894888	1000	1000	10115	10115
LOC101927204	NR_110184	chr11	58901445	58910281	1000	1000	4418	4417
FAM111A	NM_001142521	chr11	58910317	58922511	1000	1000	6097	6096
FAM111A	NM_001142520	chr11	58910317	58922511	1000	1000	6097	6096
FAM111A	NM_001142519	chr11	58910317	58922511	1000	1000	6097	6096
FAM111A	NM_198847	chr11	58912251	58922511	1000	1000	5130	5129
FAM111A	NM_022074	chr11	58912251	58922511	1000	1000	5130	5129
DTX4	NM_001300727	chr11	58938902	58976060	1000	1000	18579	18578
DTX4	NM_015177	chr11	58939811	58976060	1000	1000	18124	18124
MPEG1	NM_001039396	chr11	58975982	58980494	1000	1000	2256	2255
OR5AN1	NM_001004729	chr11	59131931	59132867	1000	1000	468	467
OR5A2	NM_001001954	chr11	59189451	59190426	1000	1000	487	487
OR5A1	NM_001004728	chr11	59210641	59211589	1000	1000	474	473
OR4D6	NM_001004708	chr11	59224433	59225378	1000	1000	472	472
OR4D10	NM_001004705	chr11	59244902	59245838	1000	1000	468	467
OR4D11	NM_001004706	chr11	59271048	59271984	1000	1000	468	467
OR4D9	NM_001004711	chr11	59282385	59283330	1000	1000	472	472
OSBP	NM_002556	chr11	59341870	59383617	1000	1000	20873	20873
MIR3162	NR_036120	chr11	59362549	59362631	1000	1000	41	40
PATL1	NM_152716	chr11	59404191	59436511	1000	1000	16160	16159
OR10V1	NM_001005324	chr11	59480388	59481318	1000	1000	465	464
OR10V2P	NR_045005	chr11	59516284	59517054	1000	1000	385	384
STX3	NM_001178040	chr11	59522531	59573355	1000	1000	25412	25411
STX3	NM_004177	chr11	59522531	59573355	1000	1000	25412	25411
MRPL16	NM_017840	chr11	59573607	59578345	1000	1000	2369	2368
GIF	NM_005142	chr11	59596745	59612974	1000	1000	8114	8114
TCN1	NM_001062	chr11	59620280	59634041	1000	1000	6880	6880
OOSP1	NR_130719	chr11	59710351	59763318	1000	1000	26483	26483
OOSP2	NM_173801	chr11	59807747	59815516	1000	1000	3884	3884
MS4A3	NM_001031809	chr11	59824100	59838588	1000	1000	7244	7243
MS4A3	NM_006138	chr11	59824100	59838588	1000	1000	7244	7243
MS4A3	NM_001031666	chr11	59824100	59838588	1000	1000	7244	7243
MS4A2	NM_001256916	chr11	59856136	59865940	1000	1000	4902	4901
MS4A2	NM_000139	chr11	59856136	59865940	1000	1000	4902	4901
MS4A6A	NM_152852	chr11	59939079	59952139	1000	1000	6530	6529
MS4A6A	NM_152851	chr11	59939079	59950804	1000	1000	5862	5862
MS4A6A	NM_001247999	chr11	59939970	59952139	1000	1000	6084	6084
MS4A6A	NM_022349	chr11	59939970	59950804	1000	1000	5417	5416
MS4A4A	NM_001243266	chr11	60048013	60076445	1000	1000	14216	14215
MS4A4A	NM_148975	chr11	60048013	60076445	1000	1000	14216	14215
MS4A4A	NM_024021	chr11	60048013	60076445	1000	1000	14216	14215
MIR6503	NR_106758	chr11	60073143	60073172	1000	1000	14	14
MS4A6E	NM_139249	chr11	60102354	60108441	1000	1000	3043	3043
MS4A7	NM_206940	chr11	60145957	60163426	1000	1000	8734	8734
MS4A7	NM_206939	chr11	60145957	60163426	1000	1000	8734	8734
MS4A7	NM_206938	chr11	60145957	60163426	1000	1000	8734	8734
MS4A7	NM_021201	chr11	60145957	60163426	1000	1000	8734	8734
MS4A14	NR_049734	chr11	60163486	60185228	1000	1000	10871	10870
MS4A14	NM_032597	chr11	60163486	60185228	1000	1000	10871	10870
MS4A14	NM_001079692	chr11	60163486	60185228	1000	1000	10871	10870
MS4A14	NM_001261828	chr11	60163486	60185228	1000	1000	10871	10870
MS4A14	NM_001261827	chr11	60163486	60185228	1000	1000	10871	10870
MS4A14	NR_049733	chr11	60163486	60185228	1000	1000	10871	10870
MS4A14	NR_049732	chr11	60163486	60185228	1000	1000	10871	10870
MS4A14	NR_049731	chr11	60163486	60185228	1000	1000	10871	10870
MS4A5	NM_023945	chr11	60197061	60215265	1000	1000	9102	9101
MS4A1	NM_152866	chr11	60223281	60238225	1000	1000	7472	7471
MS4A1	NM_021950	chr11	60223281	60238225	1000	1000	7472	7471
MS4A12	NM_001164470	chr11	60260250	60274901	1000	1000	7325	7325
MS4A12	NM_017716	chr11	60260250	60274901	1000	1000	7325	7325
MS4A13	NM_001100909	chr11	60282885	60310191	1000	1000	13653	13652
MS4A13	NM_001012417	chr11	60282885	60310191	1000	1000	13653	13652
MS4A13	NM_001278320	chr11	60282885	60310191	1000	1000	13653	13652
LINC00301	NR_026946	chr11	60383223	60454621	1000	1000	35699	35698
MS4A8	NM_031457	chr11	60467046	60483285	1000	1000	8119	8119
MS4A18	NM_001310141	chr11	60491481	60511686	1000	1000	10102	10102
MS4A15	NM_152717	chr11	60524339	60544204	1000	1000	9932	9932
MS4A15	NM_001098835	chr11	60524339	60544204	1000	1000	9932	9932
MS4A15	NM_001278242	chr11	60524339	60544204	1000	1000	9932	9932
MS4A15	NR_103481	chr11	60524339	60544204	1000	1000	9932	9932
MS4A10	NM_206893	chr11	60552820	60568778	1000	1000	7979	7978
CCDC86	NM_024098	chr11	60609428	60618561	1000	1000	4566	4566
PTGDR2	NM_004778	chr11	60618397	60623444	1000	1000	2523	2523
ZP1	NM_207341	chr11	60635014	60643164	1000	1000	4075	4074
PRPF19	NM_014502	chr11	60658019	60674061	1000	1000	8021	8020
TMEM109	NM_024092	chr11	60681370	60690915	1000	1000	4772	4772
TMEM132A	NM_178031	chr11	60691912	60704631	1000	1000	6359	6359
TMEM132A	NM_017870	chr11	60691912	60704631	1000	1000	6359	6359
SLC15A3	NM_016582	chr11	60704554	60719257	1000	1000	7351	7351
SLC15A3	NR_027391	chr11	60704554	60719257	1000	1000	7351	7351
CD6	NM_001254751	chr11	60739112	60787848	1000	1000	24368	24367
CD6	NM_001254750	chr11	60739112	60787848	1000	1000	24368	24367
CD6	NM_006725	chr11	60739112	60787848	1000	1000	24368	24367
CD6	NR_045638	chr11	60739112	60787848	1000	1000	24368	24367
CD5	NM_014207	chr11	60869929	60895323	1000	1000	12697	12696
VPS37C	NM_017966	chr11	60897727	60928916	1000	1000	15594	15594
PGA3	NM_001079807	chr11	60970966	60980350	1000	1000	4692	4691
PGA4	NM_001079808	chr11	60989802	60999179	1000	1000	4688	4688
PGA5	NM_014224	chr11	61008628	61018929	1000	1000	5150	5150
VWCE	NM_152718	chr11	61025757	61062788	1000	1000	18515	18515
DDB1	NM_001923	chr11	61066918	61100684	1000	1000	16883	16882
TKFC	NM_015533	chr11	61100653	61116231	1000	1000	7789	7788
CYB561A3	NM_153611	chr11	61116219	61129755	1000	1000	6768	6767
CYB561A3	NM_001161454	chr11	61116219	61129755	1000	1000	6768	6767
CYB561A3	NM_001161452	chr11	61116219	61124361	1000	1000	4071	4070
CYB561A3	NM_001300763	chr11	61116219	61129755	1000	1000	6768	6767
TMEM138	NM_016464	chr11	61129472	61136975	1000	1000	3751	3751
TMEM138	NR_028473	chr11	61129472	61136975	1000	1000	3751	3751
TMEM216	NM_001173990	chr11	61159831	61166335	1000	1000	3252	3251
TMEM216	NM_001173991	chr11	61159831	61166335	1000	1000	3252	3251
TMEM216	NM_016499	chr11	61159864	61166335	1000	1000	3235	3235
CPSF7	NM_001142565	chr11	61170119	61197464	1000	1000	13672	13672
CPSF7	NM_024811	chr11	61170119	61197383	1000	1000	13632	13631
CPSF7	NM_001136040	chr11	61170119	61197464	1000	1000	13672	13672
SDHAF2	NM_017841	chr11	61197596	61214239	1000	1000	8321	8321
PPP1R32	NM_001170753	chr11	61248584	61258400	1000	1000	4908	4907
PPP1R32	NM_145017	chr11	61248584	61258400	1000	1000	4908	4907
MIR4488	NR_039708	chr11	61276067	61276129	1000	1000	31	30
LRRC10B	NM_001145077	chr11	61276271	61278490	1000	1000	1109	1109
SYT7	NM_001252065	chr11	61281187	61348344	1000	1000	33578	33578
SYT7	NM_004200	chr11	61281187	61348344	1000	1000	33578	33578
SYT7	NM_001300773	chr11	61281187	61348344	1000	1000	33578	33578
LOC101927495	NR_110189	chr11	61355965	61375018	1000	1000	9526	9526
RPLP0P2	NR_002775	chr11	61382507	61406921	1000	1000	12207	12206
DAGLA	NM_006133	chr11	61447904	61514474	1000	1000	33285	33284
MYRF	NM_001127392	chr11	61520108	61555990	1000	1000	17941	17940
DKFZP434K028	NR_026882	chr11	61521500	61525136	1000	1000	1818	1817
MYRF	NM_013279	chr11	61522860	61555990	1000	1000	16565	16564
TMEM258	NM_014206	chr11	61556601	61560085	1000	1000	1742	1741
MIR611	NR_030342	chr11	61559966	61560033	1000	1000	33	33
FEN1	NM_004111	chr11	61560108	61564714	1000	1000	2303	2302
FADS1	NM_013402	chr11	61567096	61584529	1000	1000	8716	8716
MIR1908	NR_031729	chr11	61582632	61582712	1000	1000	40	39
FADS2	NM_001281501	chr11	61583674	61634826	1000	1000	25576	25575
FADS2	NM_001281502	chr11	61583875	61634826	1000	1000	25475	25475
FADS2	NM_004265	chr11	61595504	61634826	1000	1000	19661	19660
FADS3	NM_021727	chr11	61640994	61659017	1000	1000	9011	9011
MIR6746	NR_106804	chr11	61645687	61645750	1000	1000	31	31
RAB3IL1	NM_013401	chr11	61664767	61685081	1000	1000	10157	10156
RAB3IL1	NM_001271686	chr11	61664767	61687741	1000	1000	11487	11486
BEST1	NM_001139443	chr11	61717355	61731066	1000	1000	6855	6855
BEST1	NM_001300786	chr11	61717355	61731935	1000	1000	7290	7289
BEST1	NM_001300787	chr11	61717355	61731935	1000	1000	7290	7289
BEST1	NM_004183	chr11	61717355	61731935	1000	1000	7290	7289
FTH1	NM_002032	chr11	61731756	61735132	1000	1000	1688	1687
INCENP	NM_001040694	chr11	61891444	61920635	1000	1000	14595	14595
INCENP	NM_020238	chr11	61891444	61920635	1000	1000	14595	14595
SCGB1D1	NM_006552	chr11	61957709	61961009	1000	1000	1650	1649
SCGB2A1	NM_002407	chr11	61976139	61981411	1000	1000	2636	2635
SCGB1D2	NM_006551	chr11	62009723	62012280	1000	1000	1278	1278
SCGB2A2	NM_002411	chr11	62037626	62040629	1000	1000	1501	1501
SCGB1D4	NM_206998	chr11	62063753	62066536	1000	1000	1391	1391
ASRGL1	NM_001083926	chr11	62104773	62160887	1000	1000	28057	28056
ASRGL1	NM_025080	chr11	62104773	62160887	1000	1000	28057	28056
SCGB1A1	NM_003357	chr11	62186506	62190678	1000	1000	2086	2085
AHNAK	NM_024060	chr11	62201013	62314332	1000	1000	56659	56659
AHNAK	NM_001620	chr11	62283373	62314332	1000	1000	15479	15479
EEF1G	NM_001404	chr11	62327072	62341460	1000	1000	7194	7193
MIR3654	NR_037427	chr11	62327634	62327778	1000	1000	72	71
MIR6747	NR_106805	chr11	62334482	62334543	1000	1000	30	30
TUT1	NM_022830	chr11	62342516	62359109	1000	1000	8296	8296
MTA2	NM_004739	chr11	62360674	62369312	1000	1000	4319	4318
EML3	NM_153265	chr11	62369690	62380237	1000	1000	5273	5273
EML3	NM_001300793	chr11	62369690	62380237	1000	1000	5273	5273
EML3	NM_001300794	chr11	62369690	62380237	1000	1000	5273	5273
ROM1	NM_000327	chr11	62380212	62382592	1000	1000	1190	1189
B3GAT3	NM_001288723	chr11	62382767	62389647	1000	1000	3440	3439
B3GAT3	NR_109991	chr11	62382767	62389647	1000	1000	3440	3439
B3GAT3	NM_012200	chr11	62382767	62389647	1000	1000	3440	3439
B3GAT3	NM_001288721	chr11	62382767	62389647	1000	1000	3440	3439
B3GAT3	NM_001288722	chr11	62382767	62389647	1000	1000	3440	3439
GANAB	NM_001278194	chr11	62392297	62414198	1000	1000	10950	10950
GANAB	NM_001278193	chr11	62392297	62414198	1000	1000	10950	10950
GANAB	NM_001278192	chr11	62392297	62414198	1000	1000	10950	10950
GANAB	NM_198335	chr11	62392297	62414198	1000	1000	10950	10950
GANAB	NM_198334	chr11	62392297	62414198	1000	1000	10950	10950
INTS5	NM_030628	chr11	62414319	62420774	1000	1000	3227	3227
C11orf98	NM_001286086	chr11	62430288	62432688	1000	1000	1200	1199
LBHD1	NM_024099	chr11	62430288	62439241	1000	1000	4476	4476
C11orf98	NR_104414	chr11	62430288	62432688	1000	1000	1200	1199
METTL12	NM_001043229	chr11	62432778	62434923	1000	1000	1072	1072
SNORA57	NR_004390	chr11	62432893	62433042	1000	1000	74	74
UQCC3	NM_001085372	chr11	62439125	62441162	1000	1000	1018	1018
UBXN1	NM_015853	chr11	62443969	62446589	1000	1000	1310	1309
UBXN1	NM_001286078	chr11	62443969	62446589	1000	1000	1310	1309
UBXN1	NM_001286077	chr11	62443969	62446589	1000	1000	1310	1309
LRRN4CL	NM_203422	chr11	62453873	62457371	1000	1000	1749	1748
BSCL2	NM_001130702	chr11	62457733	62473787	1000	1000	8027	8026
BSCL2	NM_001122955	chr11	62457733	62475179	1000	1000	8723	8722
BSCL2	NM_032667	chr11	62457733	62473787	1000	1000	8027	8026
BSCL2	NR_037949	chr11	62457733	62477091	1000	1000	9679	9678
BSCL2	NR_037948	chr11	62457733	62477091	1000	1000	9679	9678
HNRNPUL2-BSCL2	NR_037946	chr11	62457733	62494856	1000	1000	18561	18561
GNG3	NM_012202	chr11	62475065	62476678	1000	1000	806	806
HNRNPUL2	NM_001079559	chr11	62480096	62494857	1000	1000	7380	7380
TTC9C	NM_173810	chr11	62495951	62506108	1000	1000	5078	5078
ZBTB3	NM_024784	chr11	62518434	62521656	1000	1000	1611	1610
POLR2G	NM_002696	chr11	62529010	62534187	1000	1000	2588	2588
TAF6L	NM_006473	chr11	62538774	62554813	1000	1000	8019	8019
TMEM179B	NM_199337	chr11	62554873	62557872	1000	1000	1499	1499
MIR6748	NR_106806	chr11	62557286	62557357	1000	1000	35	35
TMEM223	NM_001080501	chr11	62557786	62559486	1000	1000	850	849
NXF1	NM_001081491	chr11	62559597	62572964	1000	1000	6683	6683
NXF1	NM_006362	chr11	62559597	62572964	1000	1000	6683	6683
MIR6514	NR_106769	chr11	62560173	62560243	1000	1000	35	34
STX5	NM_003164	chr11	62574331	62599563	1000	1000	12616	12615
STX5	NM_001244666	chr11	62574331	62599563	1000	1000	12616	12615
WDR74	NM_018093	chr11	62600376	62607628	1000	1000	3626	3625
WDR74	NM_001307977	chr11	62600376	62607131	1000	1000	3377	3377
SNHG1	NR_003098	chr11	62619459	62623360	1000	1000	1950	1950
SNORD22	NR_000008	chr11	62620381	62620507	1000	1000	63	62
SNORD31	NR_002560	chr11	62620797	62620865	1000	1000	34	33
SNORD30	NR_002561	chr11	62621134	62621204	1000	1000	35	34
SNORD29	NR_002559	chr11	62621375	62621440	1000	1000	32	32
SNORD28	NR_002562	chr11	62622092	62622167	1000	1000	37	37
SNORD27	NR_002563	chr11	62622483	62622555	1000	1000	36	35
SNORD26	NR_002564	chr11	62622763	62622838	1000	1000	37	37
SNORD25	NR_002565	chr11	62623036	62623103	1000	1000	33	33
SLC3A2	NM_002394	chr11	62623483	62656355	1000	1000	16436	16435
SLC3A2	NM_001012664	chr11	62623483	62656355	1000	1000	16436	16435
SLC3A2	NM_001012662	chr11	62623483	62656355	1000	1000	16436	16435
SLC3A2	NM_001013251	chr11	62648343	62656355	1000	1000	4006	4005
SLC3A2	NR_037193	chr11	62649170	62656355	1000	1000	3592	3592
CHRM1	NM_000738	chr11	62676150	62689012	1000	1000	6431	6430
SLC22A6	NM_153278	chr11	62744068	62752495	1000	1000	4213	4213
SLC22A6	NM_153277	chr11	62744068	62752495	1000	1000	4213	4213
SLC22A6	NM_153276	chr11	62744068	62752495	1000	1000	4213	4213
SLC22A6	NM_004790	chr11	62744068	62752495	1000	1000	4213	4213
SLC22A8	NM_001184732	chr11	62760295	62783317	1000	1000	11511	11510
SLC22A8	NM_001184733	chr11	62760295	62783317	1000	1000	11511	11510
SLC22A8	NM_001184736	chr11	62760295	62783317	1000	1000	11511	11510
SLC22A8	NM_004254	chr11	62760295	62783317	1000	1000	11511	11510
SLC22A24	NM_001136506	chr11	62847411	62911693	1000	1000	32141	32140
SLC22A24	NM_173586	chr11	62885994	62911693	1000	1000	12849	12849
SLC22A25	NM_199352	chr11	62931295	62997124	1000	1000	32914	32914
SLC22A10	NM_001039752	chr11	63057429	63079246	1000	1000	10908	10908
SLC22A9	NM_080866	chr11	63137260	63177712	1000	1000	20226	20225
HRASLS5	NM_001146729	chr11	63228875	63258680	1000	1000	14902	14902
HRASLS5	NM_001146728	chr11	63228875	63258680	1000	1000	14902	14902
HRASLS5	NM_054108	chr11	63228875	63258680	1000	1000	14902	14902
LGALS12	NM_001142536	chr11	63273523	63284246	1000	1000	5361	5361
LGALS12	NM_001142535	chr11	63273523	63284246	1000	1000	5361	5361
LGALS12	NM_033101	chr11	63273523	63284246	1000	1000	5361	5361
LGALS12	NM_001142538	chr11	63275458	63284246	1000	1000	4394	4393
LGALS12	NM_001142537	chr11	63275458	63284246	1000	1000	4394	4393
RARRES3	NM_004585	chr11	63304272	63313930	1000	1000	4829	4828
HRASLS2	NM_017878	chr11	63320241	63330855	1000	1000	5307	5306
PLA2G16	NM_001128203	chr11	63341943	63381941	1000	1000	19999	19998
PLA2G16	NM_007069	chr11	63341943	63381909	1000	1000	19983	19982
ATL3	NM_015459	chr11	63391553	63439202	1000	1000	23824	23824
ATL3	NM_001290048	chr11	63391553	63439446	1000	1000	23946	23946
RTN3	NM_201428	chr11	63448921	63527363	1000	1000	39221	39220
RTN3	NM_006054	chr11	63448921	63527363	1000	1000	39221	39220
RTN3	NM_001265591	chr11	63448921	63527363	1000	1000	39221	39220
RTN3	NM_001265590	chr11	63448921	63527363	1000	1000	39221	39220
RTN3	NM_001265589	chr11	63448921	63527363	1000	1000	39221	39220
RTN3	NM_201430	chr11	63448921	63527363	1000	1000	39221	39220
RTN3	NM_201429	chr11	63448921	63527363	1000	1000	39221	39220
RTN3	NR_049751	chr11	63448921	63527363	1000	1000	39221	39220
RTN3	NR_049750	chr11	63448921	63527363	1000	1000	39221	39220
C11orf95	NM_001144936	chr11	63527363	63536113	1000	1000	4375	4374
C11orf84	NM_138471	chr11	63580845	63595190	1000	1000	7172	7172
MARK2	NM_004954	chr11	63606399	63678492	1000	1000	36046	36046
MARK2	NM_001163297	chr11	63606399	63678492	1000	1000	36046	36046
MARK2	NM_001163296	chr11	63606399	63678492	1000	1000	36046	36046
MARK2	NM_001039469	chr11	63606399	63678492	1000	1000	36046	36046
MARK2	NM_017490	chr11	63655986	63678492	1000	1000	11253	11252
RCOR2	NM_173587	chr11	63678692	63684316	1000	1000	2812	2811
NAA40	NM_024771	chr11	63706441	63724791	1000	1000	9175	9174
NAA40	NM_001300800	chr11	63706802	63724791	1000	1000	8994	8994
COX8A	NM_004074	chr11	63742078	63744015	1000	1000	968	968
OTUB1	NR_003089	chr11	63753324	63765892	1000	1000	6284	6283
OTUB1	NM_017670	chr11	63753324	63765892	1000	1000	6284	6283
MACROD1	NM_014067	chr11	63766029	63933585	1000	1000	83778	83777
FLRT1	NM_013280	chr11	63871361	63886645	1000	1000	7642	7641
STIP1	NM_001282652	chr11	63952743	63972020	1000	1000	9638	9638
STIP1	NM_001282653	chr11	63953586	63972020	1000	1000	9217	9216
STIP1	NM_006819	chr11	63953586	63972020	1000	1000	9217	9216
FERMT3	NM_178443	chr11	63974151	63991363	1000	1000	8606	8605
FERMT3	NM_031471	chr11	63974151	63991363	1000	1000	8606	8605
TRPT1	NM_031472	chr11	63991270	63993726	1000	1000	1228	1227
TRPT1	NM_001160393	chr11	63991270	63993341	1000	1000	1035	1035
TRPT1	NM_001160392	chr11	63991270	63993726	1000	1000	1228	1227
TRPT1	NM_001160389	chr11	63991270	63993726	1000	1000	1228	1227
TRPT1	NM_001160390	chr11	63991270	63993726	1000	1000	1228	1227
TRPT1	NM_001033678	chr11	63991270	63993726	1000	1000	1228	1227
NUDT22	NM_001271831	chr11	63993729	63997488	1000	1000	1879	1879
NUDT22	NM_001128612	chr11	63993729	63997488	1000	1000	1879	1879
NUDT22	NM_001128613	chr11	63993745	63997488	1000	1000	1871	1871
NUDT22	NM_032344	chr11	63993745	63997488	1000	1000	1871	1871
DNAJC4	NM_005528	chr11	63997752	64001753	1000	1000	2000	2000
DNAJC4	NM_001307980	chr11	63997903	64001753	1000	1000	1925	1924
DNAJC4	NM_001307981	chr11	63997903	64001753	1000	1000	1925	1924
VEGFB	NM_003377	chr11	64002055	64006736	1000	1000	2340	2340
VEGFB	NM_001243733	chr11	64002055	64006736	1000	1000	2340	2340
FKBP2	NM_004470	chr11	64008412	64011607	1000	1000	1597	1597
FKBP2	NM_001135208	chr11	64008603	64011607	1000	1000	1502	1501
FKBP2	NM_057092	chr11	64009587	64011607	1000	1000	1010	1009
PPP1R14B	NM_138689	chr11	64011950	64014413	1000	1000	1231	1231
PLCB3	NM_000932	chr11	64018994	64036924	1000	1000	8965	8964
PLCB3	NM_001184883	chr11	64018994	64036924	1000	1000	8965	8964
BAD	NM_004322	chr11	64037299	64052176	1000	1000	7438	7438
BAD	NM_032989	chr11	64037299	64052176	1000	1000	7438	7438
GPR137	NM_001170726	chr11	64051810	64056972	1000	1000	2581	2580
GPR137	NM_001177358	chr11	64052282	64056972	1000	1000	2345	2344
GPR137	NM_001170881	chr11	64052284	64056972	1000	1000	2344	2343
GPR137	NM_001170880	chr11	64053581	64056972	1000	1000	1695	1695
GPR137	NM_020155	chr11	64053581	64056972	1000	1000	1695	1695
KCNK4	NM_033310	chr11	64058792	64067503	1000	1000	4355	4355
TEX40	NM_001039496	chr11	64067862	64072239	1000	1000	2188	2188
ESRRA	NM_004451	chr11	64072999	64084212	1000	1000	5606	5606
ESRRA	NM_001282451	chr11	64072999	64084212	1000	1000	5606	5606
ESRRA	NM_001282450	chr11	64073698	64084212	1000	1000	5257	5256
TRMT112	NM_016404	chr11	64083963	64085556	1000	1000	796	796
TRMT112	NM_001286084	chr11	64083963	64085556	1000	1000	796	796
TRMT112	NM_001286082	chr11	64083963	64085556	1000	1000	796	796
PRDX5	NM_181652	chr11	64085559	64089295	1000	1000	1868	1867
PRDX5	NM_181651	chr11	64085559	64089295	1000	1000	1868	1867
PRDX5	NM_012094	chr11	64085559	64089295	1000	1000	1868	1867
CCDC88B	NM_032251	chr11	64107689	64125006	1000	1000	8658	8658
MIR7155	NR_106977	chr11	64109320	64109376	1000	1000	28	27
RPS6KA4	NM_001300802	chr11	64126624	64139687	1000	1000	6531	6531
RPS6KA4	NM_001006944	chr11	64126624	64139687	1000	1000	6531	6531
RPS6KA4	NM_003942	chr11	64126624	64139687	1000	1000	6531	6531
MIR1237	NR_031602	chr11	64136073	64136175	1000	1000	51	50
LOC100996455	NR_073177	chr11	64216528	64219128	1000	1000	1300	1299
SLC22A11	NM_001307985	chr11	64323072	64340347	1000	1000	8637	8637
SLC22A11	NM_018484	chr11	64323072	64340347	1000	1000	8637	8637
SLC22A12	NM_144585	chr11	64358281	64369825	1000	1000	5772	5771
SLC22A12	NM_153378	chr11	64358281	64369825	1000	1000	5772	5771
SLC22A12	NM_001276327	chr11	64358281	64369825	1000	1000	5772	5771
SLC22A12	NM_001276326	chr11	64358281	64369825	1000	1000	5772	5771
NRXN2	NM_015080	chr11	64373645	64490660	1000	1000	58507	58507
NRXN2	NM_138734	chr11	64373645	64410787	1000	1000	18571	18570
NRXN2	NM_138732	chr11	64373645	64490660	1000	1000	58507	58507
RASGRP2	NM_001098671	chr11	64494382	64511630	1000	1000	8624	8623
RASGRP2	NM_001098670	chr11	64494382	64512329	1000	1000	8973	8973
RASGRP2	NM_153819	chr11	64494382	64512928	1000	1000	9273	9272
PYGM	NM_005609	chr11	64513860	64528187	1000	1000	7163	7163
PYGM	NM_001164716	chr11	64513860	64528187	1000	1000	7163	7163
SF1	NM_201997	chr11	64532075	64546316	1000	1000	7120	7120
SF1	NM_201995	chr11	64532075	64546316	1000	1000	7120	7120
SF1	NM_001178031	chr11	64532075	64545232	1000	1000	6578	6578
SF1	NM_001178030	chr11	64532075	64545938	1000	1000	6931	6931
SF1	NM_004630	chr11	64532075	64546316	1000	1000	7120	7120
SF1	NM_201998	chr11	64532075	64546316	1000	1000	7120	7120
SF1	NR_033650	chr11	64532075	64546316	1000	1000	7120	7120
SF1	NR_033649	chr11	64532075	64546316	1000	1000	7120	7120
MAP4K2	NM_004579	chr11	64556572	64570726	1000	1000	7077	7076
MAP4K2	NM_001307990	chr11	64556572	64570726	1000	1000	7077	7076
MEN1	NM_000244	chr11	64570985	64578188	1000	1000	3601	3601
MEN1	NM_130804	chr11	64570985	64578766	1000	1000	3890	3890
MEN1	NM_130801	chr11	64570985	64578035	1000	1000	3525	3524
MEN1	NM_130803	chr11	64570985	64578766	1000	1000	3890	3890
MEN1	NM_130802	chr11	64570985	64578213	1000	1000	3614	3613
MEN1	NM_130799	chr11	64570985	64578188	1000	1000	3601	3601
MEN1	NM_130800	chr11	64570985	64578035	1000	1000	3525	3524
